ActivityIdentifier,CollectionDate,Latitude_dd,Longitude_dd,SiteNumber,chem_Azinphos-methyl,chem_Carbaryl,chem_Chlorpyrifos,chem_Diazinon,chem_Dieldrin,chem_Malathion,chem_Methyl parathion,chem_Thiobencarb,chem_Trifluralin,chem_gamma-HCH (Lindane)
nwisfl.01.00304266,2003-06-25,28.06583333,-82.5658333,USGS-02306774,0.025,0.0142,0.0025,0.009,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisfl.01.00304268,2003-08-20,28.06583333,-82.5658333,USGS-02306774,0.025,0.0142,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisfl.01.00403821,2003-10-21,28.06583333,-82.5658333,USGS-02306774,0.025,0.006,0.0025,0.0114,0.0024,0.015,0.003,0.0024,0.0045,0.002
nwisfl.01.00403822,2003-12-09,28.06583333,-82.5658333,USGS-02306774,0.025,0.0205,0.0025,0.0025,0.0045,0.0135,0.0075,0.005,0.0045,0.002
nwisfl.01.00403824,2004-02-18,28.06583333,-82.5658333,USGS-02306774,0.025,0.0205,0.0025,0.0025,0.0045,0.0135,0.0075,0.005,0.0045,0.002
nwisfl.01.00403825,2004-03-17,28.06583333,-82.5658333,USGS-02306774,0.025,0.0205,0.0025,0.0025,0.0045,0.0135,0.0075,0.005,0.0045,0.002
nwisfl.01.00403826,2004-04-15,28.06583333,-82.5658333,USGS-02306774,0.025,0.007,0.0025,0.005,0.0045,0.0135,0.0075,0.005,0.0045,0.002
nwisfl.01.00403827,2004-05-26,28.06583333,-82.5658333,USGS-02306774,0.025,0.0205,0.0025,0.0025,0.0045,0.0135,0.0075,0.005,0.0045,0.002
nwisfl.01.00403830,2004-06-22,28.06583333,-82.5658333,USGS-02306774,0.025,0.008,0.0025,0.0036,0.0045,0.0135,0.0075,0.005,0.0045,0.002
nwisfl.01.00403831,2004-07-13,28.06583333,-82.5658333,USGS-02306774,0.025,0.0205,0.0025,0.0025,0.0045,0.0135,0.0075,0.005,0.0045,0.002
nwisfl.01.00403832,2004-08-17,28.06583333,-82.5658333,USGS-02306774,0.025,0.0205,0.0025,0.0025,0.0045,0.0135,0.0075,0.005,0.0045,0.002
nwisfl.01.99408182,1994-05-02,30.12936856,-84.4943482,USGS-02327100,5e-04,0.004,0.002,0.001,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisfl.01.99408184,1994-06-28,30.12936856,-84.4943482,USGS-02327100,5e-04,0.004,0.002,0.001,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisfl.01.99408185,1994-08-19,30.12936856,-84.4943482,USGS-02327100,5e-04,0.0015,0.002,0.001,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisfl.01.99409192,1994-05-04,27.79197208,-82.3520369,USGS-02300700,0.054,0.015,0.002,0.005,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisfl.01.99409197,1994-07-08,27.79197208,-82.3520369,USGS-02300700,0.019,0.023,0.0025,0.004,0.004,0.005,0.0175,0.004,0.006,0.0055
nwisfl.01.99411513,1994-06-16,29.9794075,-81.8520426,USGS-02245500,5e-04,0.004,0.002,0.001,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.00000315,1999-10-29,33.95388889,-84.4433333,USGS-02335870,5e-04,0.0015,0.002,0.0062,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.00000428,1999-10-28,33.52930556,-84.9287222,USGS-02337500,5e-04,0.0015,0.002,0.001,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.00000571,1999-11-18,33.52930556,-84.9287222,USGS-02337500,5e-04,0.0015,0.002,0.001,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.00000771,1999-11-29,33.95388889,-84.4433333,USGS-02335870,5e-04,0.0015,0.002,0.0415,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.00001100,2000-01-20,33.52930556,-84.9287222,USGS-02337500,5e-04,0.0015,0.002,0.001,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.00001101,2000-01-20,33.95388889,-84.4433333,USGS-02335870,5e-04,0.0015,0.0093,0.0725,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.00001371,2000-02-09,33.52930556,-84.9287222,USGS-02337500,5e-04,0.0015,0.002,0.001,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.00001372,2000-02-10,33.95388889,-84.4433333,USGS-02335870,5e-04,0.0015,0.002,0.0041,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.00001925,2000-03-21,33.52930556,-84.9287222,USGS-02337500,5e-04,0.0015,0.002,0.001,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.00001926,2000-03-22,33.95388889,-84.4433333,USGS-02335870,5e-04,0.005,0.0039,0.02,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.00002236,2000-04-21,33.95388889,-84.4433333,USGS-02335870,5e-04,0.024,0.002,0.0081,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.00002246,2000-04-17,33.52930556,-84.9287222,USGS-02337500,5e-04,0.0015,0.002,0.0025,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.00002623,2000-05-30,33.95388889,-84.4433333,USGS-02335870,5e-04,0.01,0.002,0.0255,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.00002625,2000-05-31,33.52930556,-84.9287222,USGS-02337500,5e-04,0.0015,0.002,0.001,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.00003065,2000-06-20,33.52930556,-84.9287222,USGS-02337500,5e-04,0.0015,0.002,0.001,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.00003067,2000-06-21,33.95388889,-84.4433333,USGS-02335870,5e-04,0.022,0.003,0.0257,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.00003221,2000-07-27,33.95388889,-84.4433333,USGS-02335870,5e-04,0.01,0.002,0.0359,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.00003567,2000-07-13,33.52930556,-84.9287222,USGS-02337500,5e-04,0.0015,0.002,0.001,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.00003810,2000-09-11,33.52930556,-84.9287222,USGS-02337500,5e-04,0.0015,0.002,0.001,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.00003819,2000-09-14,33.95388889,-84.4433333,USGS-02335870,5e-04,0.0015,0.002,0.0061,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.00003880,2000-08-31,33.95388889,-84.4433333,USGS-02335870,5e-04,0.007,0.002,0.0269,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.00003882,2000-08-30,33.52930556,-84.9287222,USGS-02337500,5e-04,0.0015,0.002,0.001,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.00004188,2000-05-17,34.47758646,-85.3469009,USGS-02398001,0.005,0.0015,0.002,0.001,0.0025,0.0025,0.003,0.001,0.001,0.002
nwisga.01.00100001,2000-10-30,33.95388889,-84.4433333,USGS-02335870,0.025,0.0205,0.0025,0.0027,0.0025,0.0135,0.003,0.0025,0.0045,0.002
nwisga.01.00100325,2000-10-05,33.52930556,-84.9287222,USGS-02337500,0.025,0.0205,0.0025,0.0025,0.0025,0.0135,0.003,0.0025,0.0045,0.002
nwisga.01.00100516,2000-11-28,33.95388889,-84.4433333,USGS-02335870,0.025,0.0205,0.0038,0.0219,0.0025,0.0135,0.003,0.0025,0.0045,0.002
nwisga.01.00100520,2000-11-30,33.52930556,-84.9287222,USGS-02337500,0.025,0.0205,0.0025,0.0025,0.0025,0.0135,0.003,0.0025,0.0045,0.002
nwisga.01.00100974,2001-01-17,33.95388889,-84.4433333,USGS-02335870,0.025,0.0205,0.0025,0.0126,0.0025,0.0135,0.003,0.0025,0.0045,0.002
nwisga.01.00100976,2001-01-18,33.52930556,-84.9287222,USGS-02337500,0.025,0.0205,0.0025,0.0025,0.0025,0.0135,0.003,0.0025,0.0045,0.002
nwisga.01.00101150,2001-02-27,32.03388889,-83.99638889,USGS-02350080,0.025,0.0205,0.0025,0.0025,0.0025,0.0135,0.003,0.0025,0.0045,0.002
nwisga.01.00101154,2001-02-21,33.95388889,-84.4433333,USGS-02335870,0.025,0.0205,0.0025,0.013,0.0025,0.0135,0.003,0.0025,0.0045,0.002
nwisga.01.00101156,2001-02-22,33.52930556,-84.9287222,USGS-02337500,0.025,0.0205,0.0025,0.0025,0.0025,0.0135,0.003,0.0025,0.0045,0.002
nwisga.01.00101169,2000-12-27,33.95388889,-84.4433333,USGS-02335870,0.025,0.0205,0.0025,0.0076,0.0025,0.0135,0.003,0.0025,0.0045,0.002
nwisga.01.00101171,2000-12-13,33.52930556,-84.9287222,USGS-02337500,0.025,0.0205,0.0025,0.0025,0.0025,0.0135,0.003,0.0025,0.0045,0.002
nwisga.01.00101302,2001-03-06,33.95388889,-84.4433333,USGS-02335870,0.025,0.0205,0.0025,0.0083,0.0025,0.0135,0.003,0.0025,0.003,0.002
nwisga.01.00101447,2001-03-13,33.52930556,-84.9287222,USGS-02337500,0.025,0.0205,0.0025,0.0047,0.0025,0.0135,0.003,0.0025,0.0045,0.002
nwisga.01.00101671,2001-04-18,33.95388889,-84.4433333,USGS-02335870,0.025,0.007,0.0025,0.0336,0.0025,0.0135,0.003,0.0025,0.0045,0.002
nwisga.01.00101673,2001-04-19,32.03388889,-83.99638889,USGS-02350080,0.025,0.0205,0.0025,0.0025,0.0025,0.0135,0.003,0.0025,0.0045,0.002
nwisga.01.00101677,2001-04-23,33.52930556,-84.9287222,USGS-02337500,0.025,0.0205,0.0025,0.0027,0.0025,0.0135,0.003,0.0025,0.0045,0.002
nwisga.01.00101882,2001-05-16,33.52930556,-84.9287222,USGS-02337500,0.025,0.0205,0.0025,0.0025,0.0025,0.0135,0.003,0.0025,0.0045,0.002
nwisga.01.00101886,2001-05-15,33.95388889,-84.4433333,USGS-02335870,0.025,0.0205,0.0025,0.009,0.0025,0.0135,0.003,0.0025,0.0045,0.002
nwisga.01.00101962,2001-05-23,32.03388889,-83.99638889,USGS-02350080,0.025,0.0205,0.0025,0.0025,0.0025,0.0135,0.003,0.0025,0.0045,0.002
nwisga.01.00102088,2001-06-06,32.03388889,-83.99638889,USGS-02350080,0.025,0.0205,0.0037,0.0025,0.0025,0.0135,0.003,0.0025,0.017,0.002
nwisga.01.00102089,2001-06-04,33.95388889,-84.4433333,USGS-02335870,0.025,0.025,0.0039,0.113,0.0025,0.0135,0.003,0.0025,0.0045,0.002
nwisga.01.00102106,2001-06-05,33.3407222,-85.2267222,USGS-02338523,0.025,0.0205,0.0025,0.0025,0.0025,0.0135,0.003,0.0025,0.0045,0.002
nwisga.01.00102338,2001-06-07,33.52930556,-84.9287222,USGS-02337500,0.025,0.002,0.0025,0.0025,0.0025,0.0135,0.003,0.0025,0.005,0.002
nwisga.01.00102349,2001-07-12,32.03388889,-83.99638889,USGS-02350080,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00102617,2001-08-06,33.52930556,-84.9287222,USGS-02337500,0.025,0.0205,0.0025,0.0025,0.0025,0.0135,0.003,0.0025,0.0045,0.002
nwisga.01.00102619,2001-08-07,33.3407222,-85.2267222,USGS-02338523,0.025,0.0205,0.0025,0.0025,0.0025,0.0135,0.003,0.0025,0.0045,0.002
nwisga.01.00102620,2001-08-08,32.03388889,-83.99638889,USGS-02350080,0.025,0.0205,0.0025,0.0025,0.0025,0.0135,0.003,0.0025,0.0045,0.002
nwisga.01.00102944,2001-09-10,33.95388889,-84.4433333,USGS-02335870,0.025,0.0205,0.0025,0.0025,0.0025,0.0135,0.003,0.0025,0.0045,0.002
nwisga.01.00102946,2001-09-11,33.52930556,-84.9287222,USGS-02337500,0.025,0.0205,0.0025,0.0025,0.0025,0.0135,0.003,0.0025,0.0045,0.002
nwisga.01.00102947,2001-09-12,33.3407222,-85.2267222,USGS-02338523,0.025,0.0205,0.0025,0.0025,0.0025,0.0135,0.003,0.0025,0.0045,0.002
nwisga.01.00102948,2001-09-13,32.03388889,-83.99638889,USGS-02350080,0.025,0.0205,0.0025,0.0025,0.0025,0.0135,0.003,0.0025,0.0045,0.002
nwisga.01.00200642,2001-11-28,33.95388889,-84.4433333,USGS-02335870,0.025,0.01,0.0025,0.0049,0.0025,0.0135,0.003,0.0025,0.0045,0.002
nwisga.01.00200847,2001-12-10,33.95388889,-84.4433333,USGS-02335870,0.025,0.02,0.0025,0.016,0.0025,0.0135,0.003,0.0025,0.0045,0.00625
nwisga.01.00200850,2001-12-12,32.03388889,-83.99638889,USGS-02350080,0.025,0.0142,0.0025,0.0025,0.0025,0.0135,0.003,0.0025,0.0045,0.002
nwisga.01.00200996,2001-11-09,33.3407222,-85.2267222,USGS-02338523,0.025,0.0205,0.0025,0.0025,0.0025,0.0135,0.003,0.0025,0.0045,0.002
nwisga.01.00201009,2001-12-26,33.95388889,-84.4433333,USGS-02335870,0.025,0.0284,0.0025,0.0052,0.0025,0.0135,0.003,0.0025,0.002,0.002
nwisga.01.00201235,2002-01-16,33.3407222,-85.2267222,USGS-02338523,0.025,0.0205,0.0025,0.0025,0.0025,0.0135,0.003,0.0025,0.0045,0.002
nwisga.01.00201236,2002-01-17,32.03388889,-83.99638889,USGS-02350080,0.025,0.0142,0.0025,0.0025,0.0025,0.0135,0.003,0.0025,0.0045,0.002
nwisga.01.00201237,2002-01-18,33.95388889,-84.4433333,USGS-02335870,0.025,0.0142,0.0025,0.0027,0.0025,0.0135,0.003,0.0025,0.0045,0.002
nwisga.01.00201595,2002-02-13,32.03388889,-83.99638889,USGS-02350080,0.025,0.0142,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00201962,2002-02-26,33.95388889,-84.4433333,USGS-02335870,0.025,0.0142,0.0025,0.0013,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00201964,2002-02-27,32.03388889,-83.99638889,USGS-02350080,0.025,0.0142,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00201965,2002-03-14,32.03388889,-83.99638889,USGS-02350080,0.025,0.0142,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00202203,2002-03-27,33.95388889,-84.4433333,USGS-02335870,0.025,0.03,0.0037,0.114,0.0024,0.0135,0.003,0.0024,0.01,0.002
nwisga.01.00202204,2002-03-28,32.03388889,-83.99638889,USGS-02350080,0.025,0.0142,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.0117
nwisga.01.00202205,2002-03-15,33.3407222,-85.2267222,USGS-02338523,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00202362,2002-04-04,32.03388889,-83.99638889,USGS-02350080,0.025,0.0142,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00202363,2002-04-09,32.03388889,-83.99638889,USGS-02350080,0.025,0.0142,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00202364,2002-04-12,33.95388889,-84.4433333,USGS-02335870,0.025,0.006,0.0029,0.0073,0.0024,0.0135,0.003,0.0024,0.003,0.002
nwisga.01.00202563,2002-04-16,33.3407222,-85.2267222,USGS-02338523,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00202565,2002-04-17,32.03388889,-83.99638889,USGS-02350080,0.025,0.0142,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00202614,2002-04-18,33.95388889,-84.4433333,USGS-02335870,0.025,0.0142,0.0025,0.0103,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00202615,2002-04-23,33.95388889,-84.4433333,USGS-02335870,0.025,0.0142,0.0025,0.0064,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00202616,2002-04-21,32.03388889,-83.99638889,USGS-02350080,0.025,0.0142,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00202633,2002-04-30,33.95388889,-84.4433333,USGS-02335870,0.025,0.01,0.0042,0.0755,0.0024,0.0135,0.003,0.0024,0.001,0.002
nwisga.01.00202655,2002-05-02,32.03388889,-83.99638889,USGS-02350080,0.025,0.0142,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.001,0.002
nwisga.01.00202716,2002-05-07,33.95388889,-84.4433333,USGS-02335870,0.025,0.01,0.003,0.0371,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00202717,2002-05-07,32.03388889,-83.99638889,USGS-02350080,0.025,0.0142,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00203029,2002-05-15,33.95388889,-84.4433333,USGS-02335870,0.025,0.0284,0.0025,0.0143,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00203031,2002-05-15,33.3407222,-85.2267222,USGS-02338523,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00203032,2002-05-16,32.03388889,-83.99638889,USGS-02350080,0.025,0.0142,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00204037,2002-08-06,33.95388889,-84.4433333,USGS-02335870,0.025,0.0142,0.0025,0.0016,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00204038,2002-08-06,33.3407222,-85.2267222,USGS-02338523,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00204039,2002-08-07,32.03388889,-83.99638889,USGS-02350080,0.025,0.0142,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00204148,2002-08-21,33.95388889,-84.4433333,USGS-02335870,0.025,0.01,0.0025,0.016,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00204149,2002-09-06,33.95388889,-84.4433333,USGS-02335870,0.025,0.0142,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00204150,2002-08-22,32.03388889,-83.99638889,USGS-02350080,0.025,0.0284,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00204151,2002-09-05,32.03388889,-83.99638889,USGS-02350080,0.025,0.0142,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00204154,2002-09-17,32.03388889,-83.99638889,USGS-02350080,0.025,0.0142,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00300732,2002-11-08,33.95388889,-84.4433333,USGS-02335870,0.081,0.032,0.0025,0.0139,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00400273,2003-10-22,32.03388889,-83.99638889,USGS-02350080,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00400276,2003-10-17,33.95388889,-84.4433333,USGS-02335870,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00401264,2003-12-15,33.95388889,-84.4433333,USGS-02335870,0.025,0.008,0.0025,0.0141,0.0045,0.0135,0.0075,0.005,0.0045,0.002
nwisga.01.00401281,2003-12-16,32.03388889,-83.99638889,USGS-02350080,0.025,0.005,0.0025,0.0025,0.0045,0.0135,0.0075,0.005,0.0045,0.0052
nwisga.01.00402991,2004-02-18,33.95388889,-84.4433333,USGS-02335870,0.025,0.0205,0.0025,0.0025,0.0045,0.0135,0.0075,0.005,0.004,0.002
nwisga.01.00402992,2004-02-20,32.03388889,-83.99638889,USGS-02350080,0.025,0.0205,0.0025,0.0025,0.0045,0.0135,0.0075,0.005,0.0045,0.002
nwisga.01.00404600,2004-03-25,33.95388889,-84.4433333,USGS-02335870,0.025,0.0205,0.0025,0.0025,0.0045,0.0135,0.0075,0.005,0.0045,0.002
nwisga.01.00404601,2004-03-26,32.03388889,-83.99638889,USGS-02350080,0.025,0.0205,0.0025,0.0025,0.0045,0.0135,0.0075,0.005,0.0045,0.002
nwisga.01.00404605,2004-04-20,33.95388889,-84.4433333,USGS-02335870,0.025,0.0205,0.0025,0.0025,0.0045,0.0135,0.0075,0.005,0.0045,0.002
nwisga.01.00407299,2004-06-29,33.95388889,-84.4433333,USGS-02335870,0.025,0.036,0.0025,0.0106,0.0045,0.0135,0.0075,0.005,0.0045,0.0031
nwisga.01.00407302,2004-06-30,32.03388889,-83.99638889,USGS-02350080,0.025,0.0205,0.0025,0.0025,0.0045,0.0135,0.0075,0.005,0.0045,0.002
nwisga.01.00409175,2004-08-19,32.03388889,-83.99638889,USGS-02350080,0.025,0.0205,0.0025,0.0025,0.0045,0.0135,0.0075,0.005,0.0045,0.002
nwisga.01.99300552,1993-03-02,31.08657309,-84.7365862,USGS-02356980,5e-04,0.0015,0.002,0.001,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.99300553,1993-03-03,32.03388889,-83.99638889,USGS-02350080,5e-04,0.0015,0.002,0.001,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.99300556,1993-03-09,33.95388889,-84.4433333,USGS-02335870,5e-04,0.0015,0.008,0.009,5e-04,0.0025,0.003,0.001,0.007,0.002
nwisga.01.99300570,1993-03-22,33.95388889,-84.4433333,USGS-02335870,5e-04,0.004,0.002,0.011,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.99300571,1993-03-18,33.95388889,-84.4433333,USGS-02335870,5e-04,0.004,0.021,0.02,5e-04,0.009,0.003,0.001,0.001,0.002
nwisga.01.99300603,1993-04-06,33.95388889,-84.4433333,USGS-02335870,5e-04,0.004,0.015,0.046,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.99300604,1993-03-29,33.95388889,-84.4433333,USGS-02335870,5e-04,0.0015,0.002,0.015,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.99300624,1993-04-21,33.95388889,-84.4433333,USGS-02335870,5e-04,0.004,0.002,0.025,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.99300740,1993-04-26,33.95388889,-84.4433333,USGS-02335870,5e-04,0.004,0.034,0.18,5e-04,0.0025,0.003,0.001,0.007,0.002
nwisga.01.99300759,1993-04-08,32.03388889,-83.99638889,USGS-02350080,5e-04,0.004,0.002,0.001,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.99300760,1993-04-20,32.03388889,-83.99638889,USGS-02350080,5e-04,0.004,0.002,0.001,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.99300761,1993-04-14,32.03388889,-83.99638889,USGS-02350080,5e-04,0.004,0.002,0.001,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.99300762,1993-04-21,31.08657309,-84.7365862,USGS-02356980,5e-04,0.004,0.002,0.001,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.99300763,1993-03-25,32.03388889,-83.99638889,USGS-02350080,5e-04,0.004,0.002,0.001,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.99300764,1993-04-12,31.08657309,-84.7365862,USGS-02356980,5e-04,0.004,0.002,0.001,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.99300766,1993-03-09,31.08657309,-84.7365862,USGS-02356980,5e-04,0.0015,0.002,0.001,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.99300767,1993-03-15,31.08657309,-84.7365862,USGS-02356980,5e-04,0.004,0.002,0.001,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.99300768,1993-03-24,31.08657309,-84.7365862,USGS-02356980,5e-04,0.004,0.002,0.001,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.99300769,1993-03-31,31.08657309,-84.7365862,USGS-02356980,5e-04,0.004,0.002,0.001,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.99300770,1993-03-10,32.03388889,-83.99638889,USGS-02350080,5e-04,0.0015,0.002,0.001,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.99300771,1993-03-16,32.03388889,-83.99638889,USGS-02350080,5e-04,0.004,0.002,0.001,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.99300772,1993-03-30,32.03388889,-83.99638889,USGS-02350080,5e-04,0.004,0.002,0.001,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.99300773,1993-05-03,33.95388889,-84.4433333,USGS-02335870,5e-04,0.004,0.016,0.019,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.99300775,1993-05-10,33.95388889,-84.4433333,USGS-02335870,5e-04,0.004,0.008,0.017,5e-04,0.005,0.003,0.001,0.001,0.002
nwisga.01.99300895,1993-05-04,32.03388889,-83.99638889,USGS-02350080,5e-04,0.004,0.002,0.001,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.99300896,1993-05-11,32.03388889,-83.99638889,USGS-02350080,5e-04,0.004,0.002,0.001,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.99300897,1993-05-03,31.08657309,-84.7365862,USGS-02356980,5e-04,0.004,0.002,0.001,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.99300898,1993-05-12,31.08657309,-84.7365862,USGS-02356980,5e-04,0.004,0.002,0.001,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.99300938,1993-06-07,31.08657309,-84.7365862,USGS-02356980,5e-04,0.004,0.002,0.001,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.99301093,1993-06-07,32.03388889,-83.99638889,USGS-02350080,5e-04,0.004,0.002,0.001,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.99301114,1993-06-15,33.95388889,-84.4433333,USGS-02335870,5e-04,0.027,0.011,0.034,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.99301115,1993-06-01,32.03388889,-83.99638889,USGS-02350080,5e-04,0.004,0.002,0.001,5e-04,0.0025,0.003,0.001,0.007,0.002
nwisga.01.99301116,1993-05-25,32.03388889,-83.99638889,USGS-02350080,5e-04,0.004,0.002,0.001,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.99301117,1993-06-01,31.08657309,-84.7365862,USGS-02356980,5e-04,0.004,0.002,0.001,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.99301120,1993-05-24,31.08657309,-84.7365862,USGS-02356980,5e-04,0.004,0.002,0.001,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.99301125,1993-06-03,33.95388889,-84.4433333,USGS-02335870,5e-04,0.004,0.008,0.022,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.99301133,1993-06-21,33.95388889,-84.4433333,USGS-02335870,5e-04,0.004,0.002,0.001,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.99301138,1993-05-17,32.03388889,-83.99638889,USGS-02350080,5e-04,0.004,0.002,0.001,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.99301139,1993-06-15,32.03388889,-83.99638889,USGS-02350080,5e-04,0.004,0.002,0.001,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.99301140,1993-05-18,31.08657309,-84.7365862,USGS-02356980,5e-04,0.004,0.002,0.001,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.99301155,1993-07-06,33.95388889,-84.4433333,USGS-02335870,5e-04,0.008,0.002,0.016,5e-04,0.0025,0.003,0.001,0.001,0.002
nwisga.01.99301167,1993-07-13,32.03388889,-83.99638889,USGS-02350080,5e-04,0.004,0.002,0.001,5e-04,0.0025,0.003,0.001,0.001,0.002
